"ID","Site Name","Date","Time","Weather","Arrival Time","Inspection Time","Departure Time","InspectionStaff","Notes","Water level notes","MeterID","DO Notes","Temp Check","Temp Logger"
15911,"Mangatainoka at Pahiatua Town Bridge",2023-10-30,"08:45:00","Overcast","2023-10-30 08:41:00","2023-10-30 08:45:00","2023-10-30 09:34:00","GMills_HorizonsRC","Gauged 100m above site. ",NA,"TP24",NA,12.12,12.34
16000,"Mangatainoka at Pahiatua Town Bridge",2023-11-14,"12:31:14","Fine","2023-11-14 12:28:00","2023-11-14 12:31:14","2023-11-14 12:46:40","TBayley_HorizonsRC",NA,NA,"AquaTroll3",NA,15.37,15.5
16315,"Mangatainoka at Pahiatua Town Bridge",2023-11-21,"14:50:00","Overcast","2023-11-21 14:50:00",NA,"2023-11-21 15:30:00","GMills_HorizonsRC","Replaced sonde DO cap and calibrated on site. ",NA,NA,NA,NA,NA
16465,"Mangatainoka at Pahiatua Town Bridge",2023-12-12,"12:25:15","Overcast","2023-12-12 12:16:00","2023-12-12 12:25:15","2023-12-12 12:39:02","TBayley_HorizonsRC",NA,NA,"AquaTroll4",NA,15.22,15.61
16579,"Mangatainoka at Pahiatua Town Bridge",2024-01-16,"12:40:00","Fine","2024-01-16 12:17:00","2024-01-16 12:40:00","2024-01-16 12:42:00","TBayley_HorizonsRC",NA,NA,"AquaTroll3",NA,19.25,19.3
16615,"Mangatainoka at Pahiatua Town Bridge",2024-01-18,"12:13:00","Overcast","2024-01-18 12:07:00","2024-01-18 12:13:00","2024-01-18 13:56:00","GMills_HorizonsRC","Replaced lower ESG. Cleared blackberry and sprayed track. ",NA,"TP24",NA,21.75,21.38
16637,"Mangatainoka at Pahiatua Town Bridge",2024-01-23,"13:52:52","Fine","2024-01-23 13:34:00","2024-01-23 13:52:52","2024-01-23 13:57:23","TBayley_HorizonsRC","Added benchmark by container",NA,"TP24",NA,22.36,22.47
16687,"Mangatainoka at Pahiatua Town Bridge",2024-01-31,"12:45:00","Overcast","2024-01-31 12:45:00","2024-01-31 12:45:00","2024-01-31 13:25:00","GMills_HorizonsRC","Gauged 150m above site. ",NA,"TP24",NA,19.44,19.58
16740,"Mangatainoka at Pahiatua Town Bridge",2024-02-13,"12:24:45","Fine","2024-02-13 12:20:00","2024-02-13 12:24:45","2024-02-13 12:37:00","TBayley_HorizonsRC",NA,NA,"AquaTroll2",NA,18.07,18.35
16874,"Mangatainoka at Pahiatua Town Bridge",2024-03-12,"12:00:16","Overcast","2024-03-12 11:58:00","2024-03-12 12:00:16","2024-03-12 12:35:00","TBayley_HorizonsRC",NA,NA,"AquaTroll3",NA,17.24,17.04
